Name,Description,Images,No questions
Blip,Blips are short glitches with a symmetric 'teardrop' shape,blip-1.jpg;blip-2.gif;blip-3.gif,N
Whistle,Whistles (a.k.a. Radio Frequency Beat Notes) have a characteristic 'W' or 'V' shape,whistle-1.jpg;whistle-2.gif;whistle-3.gif,N
None of the Above,This category is for glitches that do not look like any of the other categories,noa-1.jpg;noa-2.gif;noa-3.gif;noa-4.gif;noa-5.gif;noa-6.gif,N
